#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NC_009657.1          -         result               -          cm        1      295        1      293      +    no    1 0.42   0.0  267.3   1.9e-67 !   Scotophilus bat coronavirus 512, complete genome
MH726394.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  236.5   3.4e-59 !   Porcine epidemic diarrhea virus isolate GDS31, complete genome
MH708895.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  236.4   3.4e-59 !   Porcine epidemic diarrhea virus isolate FJ2011, complete genome
KR809885.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  236.4   3.5e-59 !   Porcine epidemic diarrhea virus isolate CH/HNAY/2015, complete genome
MH726372.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  236.3   3.7e-59 !   Porcine epidemic diarrhea virus isolate GDS28, complete genome
MK409659.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  236.1   4.1e-59 !   Porcine epidemic diarrhea virus isolate ZJ15XS0101-P120, complete genome
MH726408.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  236.1   4.1e-59 !   Porcine epidemic diarrhea virus isolate GDS09, complete genome
MH726405.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  235.9   4.8e-59 !   Porcine epidemic diarrhea virus isolate GDS48, complete genome
KU975389.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  235.8   4.9e-59 !   Porcine epidemic diarrhea virus strain CH/SCCD/2014, complete genome
KJ526096.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  235.8   4.9e-59 !   Porcine epidemic diarrhea virus isolate CH/JX-2/2013, complete genome
KF760557.2           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  235.8   4.9e-59 !   Porcine epidemic diarrhea virus strain CH/JX-1/2013, complete genome
KJ777678.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  235.8   4.9e-59 !   Porcine epidemic diarrhea virus strain LZW isolate CPGEN_20140427, complete genome
KJ777677.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  235.8   4.9e-59 !   Porcine epidemic diarrhea virus strain LZW isolate FGE_20140427, complete genome
AY518894.1           -         result               -          cm        1      295        1      287      +    no    1 0.37   6.1  235.7   5.3e-59 !   Human group 1 coronavirus associated with pneumonia, complete genome
KX791060.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  235.5   5.8e-59 !   Porcine epidemic diarrhea virus isolate CHSD2014, complete genome
KY793536.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  235.5   5.9e-59 !   Porcine epidemic diarrhea virus strain CH/GX/2015/750A, complete genome
KM609213.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  235.3   6.6e-59 !   Porcine epidemic diarrhea virus strain PEDV-WS, complete genome
MH726404.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  235.3   6.8e-59 !   Porcine epidemic diarrhea virus isolate GDS53, complete genome
MH726403.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  235.3   6.8e-59 !   Porcine epidemic diarrhea virus isolate GDS51, complete genome
MH726402.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  234.9   8.8e-59 !   Porcine epidemic diarrhea virus isolate GDS46, complete genome
KC210147.1           -         result               -          cm        1      295        1      291      +    no    1 0.46   0.0  234.9   8.9e-59 !   Porcine epidemic diarrhea virus strain JS-HZ2012, complete genome
KM609207.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  234.6   1.1e-58 !   Porcine epidemic diarrhea virus strain PEDV-14, complete genome
MF737355.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  234.5   1.1e-58 !   Porcine epidemic diarrhea virus isolate KUPE21, complete genome
KX839247.1           -         result               -          cm        1      295        1      291      +    no    1 0.46   0.0  234.4   1.2e-58 !   Porcine epidemic diarrhea virus strain 85-7-mutant1, complete genome
KX839250.1           -         result               -          cm        1      295        1      291      +    no    1 0.46   0.0  234.4   1.2e-58 !   Porcine epidemic diarrhea virus strain 85-7-mutant4, complete genome
KX839249.1           -         result               -          cm        1      295        1      291      +    no    1 0.46   0.0  234.4   1.2e-58 !   Porcine epidemic diarrhea virus strain 85-7-mutant3, complete genome
KX839248.1           -         result               -          cm        1      295        1      291      +    no    1 0.46   0.0  234.4   1.2e-58 !   Porcine epidemic diarrhea virus strain 85-7-mutant2, complete genome
KX839246.1           -         result               -          cm        1      295        1      291      +    no    1 0.46   0.0  234.4   1.2e-58 !   Porcine epidemic diarrhea virus strain 85-7, complete genome
KY486714.1           -         result               -          cm        1      295        1      291      +    no    1 0.46   0.0  234.4   1.2e-58 !   Porcine epidemic diarrhea virus strain 85-7-C40, complete genome
KY486713.1           -         result               -          cm        1      295        1      291      +    no    1 0.46   0.0  234.4   1.2e-58 !   Porcine epidemic diarrhea virus strain 85-7-A40, complete genome
MH726371.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  234.4   1.2e-58 !   Porcine epidemic diarrhea virus isolate GDS21, complete genome
KC140102.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  234.2   1.3e-58 !   Porcine epidemic diarrhea virus strain CH/FJZZ-9/2012, complete genome
MK409658.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  234.2   1.4e-58 !   Porcine epidemic diarrhea virus isolate ZJ15XS0101-P35, complete genome
MK409657.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  234.2   1.4e-58 !   Porcine epidemic diarrhea virus isolate ZJ15XS0101-P16, complete genome
KX550281.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  234.2   1.4e-58 !   Porcine epidemic diarrhea virus strain ZJ15XS0101 P1, complete genome
MH726383.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  234.1   1.4e-58 !   Porcine epidemic diarrhea virus isolate GDS50, complete genome
MH061343.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  234.1   1.4e-58 !   Porcine epidemic diarrhea virus strain CH/SCMY/2018, complete genome
MH061339.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  234.1   1.4e-58 !   Porcine epidemic diarrhea virus strain CH/SCAZ10/2017, complete genome
MG983755.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  234.1   1.4e-58 !   Porcine epidemic diarrhea virus strain GDgh, complete genome
KY928065.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  234.1   1.4e-58 !   Porcine epidemic diarrhea virus isolate CH_hubei_2016, complete genome
LT906582.1           -         result               -          cm        1      295        3      292      +    no    1 0.47   0.0  234.0   1.5e-58 !   Porcine epidemic diarrhea virus isolate Br1_87 genome assembly, complete genome: monopartite
KM609212.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  233.9   1.6e-58 !   Porcine epidemic diarrhea virus strain PEDV-LYG, complete genome
MH726370.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  233.8   1.7e-58 !   Porcine epidemic diarrhea virus isolate GDS07, complete genome
MK606369.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  233.8   1.7e-58 !   Porcine epidemic diarrhea virus isolate CH-HB2-2018, complete genome
MH061340.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  233.8   1.7e-58 !   Porcine epidemic diarrhea virus strain CH/SCZY103/2017, complete genome
MF346935.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  233.8   1.7e-58 !   Porcine epidemic diarrhea virus isolate CH/JLDH/2016, complete genome
MH726391.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  233.8   1.7e-58 !   Porcine epidemic diarrhea virus isolate GDS15, complete genome
MH726387.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  233.8   1.7e-58 !   Porcine epidemic diarrhea virus isolate GDS12, complete genome
MH726386.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  233.8   1.7e-58 !   Porcine epidemic diarrhea virus isolate GDS16, complete genome
MH726384.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  233.8   1.7e-58 !   Porcine epidemic diarrhea virus isolate GDS06, complete genome
MH726373.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  233.6     2e-58 !   Porcine epidemic diarrhea virus isolate GDS13, complete genome
JX088695.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  233.6     2e-58 !   Porcine epidemic diarrhea virus strain GD-B, complete genome
MH061338.1           -         result               -          cm        1      295        1      292      +    no    1 0.47   0.0  233.4   2.2e-58 !   Porcine epidemic diarrhea virus strain CH/SCZY44/2017, complete genome
MH726374.1           -         result               -          cm        1      295        1      292      +    no    1 0.47   0.0  232.7   3.3e-58 !   Porcine epidemic diarrhea virus isolate GDS11, complete genome
JQ023161.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  232.7   3.3e-58 !   Porcine epidemic diarrhea virus strain virulent DR13, complete genome
MK841495.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  232.5   3.7e-58 !   Porcine epidemic diarrhea virus isolate PEDV YZ, complete genome
MK841494.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  232.5   3.7e-58 !   Porcine epidemic diarrhea virus isolate PEDV SH, complete genome
KF267450.1           -         result               -          cm        3      295        1      291      +    5'    2 0.45   0.0  232.3   4.2e-58 !   Porcine epidemic diarrhea virus isolate 13-019349, complete genome
MH726375.1           -         result               -          cm        1      295        1      292      +    no    1 0.47   0.0  232.3   4.2e-58 !   Porcine epidemic diarrhea virus isolate GDS19, complete genome
MH726406.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  232.3   4.4e-58 !   Porcine epidemic diarrhea virus isolate GDS49, complete genome
MN037494.1           -         result               -          cm        1      295        1      292      +    no    1 0.47   0.0  232.1   4.8e-58 !   Porcine epidemic diarrhea virus strain WHLL, complete genome
MH726379.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  232.0   5.3e-58 !   Porcine epidemic diarrhea virus isolate GDS33, complete genome
MH726378.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  232.0   5.3e-58 !   Porcine epidemic diarrhea virus isolate GDS34, complete genome
MH726377.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  232.0   5.3e-58 !   Porcine epidemic diarrhea virus isolate GDS29, complete genome
MH726407.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  231.9   5.4e-58 !   Porcine epidemic diarrhea virus isolate GDS52, complete genome
KY070587.1           -         result               -          cm        1      295        1      293      +    no    1 0.47   0.0  231.7   6.3e-58 !   Porcine epidemic diarrhea virus isolate JSCZ1601, complete genome
MH539766.1           -         result               -          cm        1      295        1      296      +    no    1 0.42   0.2  231.7   6.4e-58 !   Porcine enteric alphacoronavirus isolate CHN-GD-2017, complete genome
NC_009988.1          -         result               -          cm        1      295        1      296      +    no    1 0.42   0.2  231.7   6.4e-58 !   Bat coronavirus HKU2, complete genome
EF203064.1           -         result               -          cm        1      295        1      296      +    no    1 0.42   0.2  231.7   6.4e-58 !   Bat coronavirus HKU2 strain HKU2/GD/430/2006, complete genome
MH726393.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  231.6   6.5e-58 !   Porcine epidemic diarrhea virus isolate GDS14, complete genome
MH726363.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  231.5   7.1e-58 !   Porcine epidemic diarrhea virus isolate GDS20, complete genome
MH726362.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  231.5   7.1e-58 !   Porcine epidemic diarrhea virus isolate GDS05, complete genome
MH107322.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  231.5   7.1e-58 !   Porcine epidemic diarrhea virus isolate GDS23, complete genome
KM609208.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  231.4   7.5e-58 !   Porcine epidemic diarrhea virus strain PEDV-15F, complete genome
KR011756.1           -         result               -          cm        6      295        1      287      +    5'    2 0.46   0.0  230.4   1.4e-57 !   Porcine epidemic diarrhea virus strain FR/001/2014, complete genome
MH726398.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  230.3   1.5e-57 !   Porcine epidemic diarrhea virus isolate GDS37, complete genome
MG428704.1           -         result               -          cm        1      295       94      381      +    no    1 0.36   7.3  229.7   2.2e-57 !   Human coronavirus NL63 isolate Kilifi_HH_5402_20-May-2010, complete genome
MG428701.1           -         result               -          cm        1      295      100      387      +    no    1 0.36   7.3  229.7   2.2e-57 !   Human coronavirus NL63 isolate Kilifi_HH_0512_04-Jun-2010, complete genome
EF203067.1           -         result               -          cm        1      295        1      296      +    no    1 0.43   0.1  229.4   2.6e-57 !   Bat coronavirus HKU2 strain HKU2/HK/33/2006, complete genome
NC_002645.1          -         result               -          cm        1      295        1      292      +    no    1 0.41   0.2  229.3   2.7e-57 !   Human coronavirus 229E, complete genome
AF304460.1           -         result               -          cm        1      295        1      292      +    no    1 0.41   0.2  229.3   2.7e-57 !   Human coronavirus 229E, complete genome
KM609209.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  229.3   2.7e-57 !   Porcine epidemic diarrhea virus strain PEDV-CHZ, complete genome
KM609205.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  229.3   2.7e-57 !   Porcine epidemic diarrhea virus strain PEDV-8C, complete genome
MG772808.1           -         result               -          cm        3      295        1      286      +    5'    2 0.36   6.4  229.3   2.8e-57 !   Human coronavirus NL63 isolate CN0601/14, complete genome
MF370205.1           -         result               -          cm        1      295        1      296      +    no    1 0.42   0.1  229.0   3.2e-57 !   Rhinolophus bat coronavirus HKU2 isolate Swine enteric alphacoronavirus CH/GD-01/2017/P2, complete genome
MG428703.1           -         result               -          cm        1      295      105      392      +    no    1 0.36   7.6  228.6   4.3e-57 !   Human coronavirus NL63 isolate Kilifi_HH_0511_01-Jun-2010, complete genome
MK032690.1           -         result               -          cm        1      295        1      292      +    no    1 0.46   0.0  228.5   4.5e-57 !   Porcine epidemic diarrhea virus isolate KNU-1816, complete genome
MH910099.1           -         result               -          cm        3      295        1      291      +    5'    2 0.46   0.0  228.4   4.7e-57 !   UNVERIFIED: Porcine epidemic diarrhea virus isolate JS-2013, complete genome
MG742313.1           -         result               -          cm        1      295        1      296      +    no    1 0.43   0.1  228.3     5e-57 !   Porcine enteric Alphacoronavirus strain PEAV-GD-CH/2017, complete genome
KY007140.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  228.1   5.9e-57 !   Porcine epidemic diarrhea virus isolate PEDV-LNsy, complete genome
EF203066.1           -         result               -          cm        1      295        1      296      +    no    1 0.43   0.0  228.0   6.1e-57 !   Bat coronavirus HKU2 strain HKU2/HK/298/2006, complete genome
LT906620.1           -         result               -          cm        9      295        1      283      +    5'    2 0.47   0.0  227.9   6.3e-57 !   Porcine epidemic diarrhea virus isolate CV777 genome assembly, complete genome: monopartite
MK977618.1           -         result               -          cm        1      295        1      296      +    no    1 0.42   0.2  227.8     7e-57 !   Swine enteric alphacoronavirus strain SeACoV-p10, complete genome
LT898417.1           -         result               -          cm        6      295        1      287      +    5'    2 0.46   0.0  227.8     7e-57 !   Porcine epidemic diarrhea virus isolate PEDV_GER_L00855-K14_14-02_2014 genome assembly, complete genome: monopartite
EF203065.1           -         result               -          cm        1      295        1      296      +    no    1 0.42   0.1  227.7   7.3e-57 !   Bat coronavirus HKU2 strain HKU2/HK/46/2006, complete genome
KY019624.1           -         result               -          cm        9      295        1      284      +    5'    2 0.46   0.0  227.5     8e-57 !   Porcine epidemic diarrhea virus isolate SLOreBAS-2/2015, complete genome
KY019623.1           -         result               -          cm        9      295        1      284      +    5'    2 0.46   0.0  227.5     8e-57 !   Porcine epidemic diarrhea virus isolate SLOreBAS-1/2015, complete genome
KU893870.1           -         result               -          cm       13      295        1      281      +    5'    2 0.47   0.0  227.4   8.9e-57 !   Porcine epidemic diarrhea virus strain PC22A-P100-C4, complete genome
KR078300.1           -         result               -          cm       13      295        1      281      +    5'    2 0.47   0.0  227.4   8.9e-57 !   Porcine epidemic diarrhea virus strain PC177, complete genome
KM392229.1           -         result               -          cm       13      295        1      281      +    5'    2 0.47   0.0  227.4   8.9e-57 !   Porcine epidemic diarrhea virus strain TC PC177-P2, complete genome
KU893861.1           -         result               -          cm        8      295        1      285      +    5'    2 0.47   0.0  227.0   1.1e-56 !   Porcine epidemic diarrhea virus strain PC22A-P3, complete genome
LT898436.1           -         result               -          cm       14      295        1      280      +    5'    2 0.47   0.0  226.8   1.3e-56 !   Porcine epidemic diarrhea virus isolate PEDV_ROMANIA_L01329-K25_15-01_2015 genome assembly, complete genome: monopartite
KY499261.1           -         result               -          cm       14      295        1      280      +    5'    2 0.47   0.0  226.8   1.3e-56 !   Porcine epidemic diarrhea virus strain TC-PC177, complete genome
KU893873.1           -         result               -          cm       14      295        1      280      +    5'    2 0.47   0.0  226.8   1.3e-56 !   Porcine epidemic diarrhea virus strain PC22A-P160, complete genome
KM392230.1           -         result               -          cm       14      295        1      280      +    5'    2 0.47   0.0  226.8   1.3e-56 !   Porcine epidemic diarrhea virus strain TC PC180-P2, complete genome
KM392228.1           -         result               -          cm       14      295        1      280      +    5'    2 0.47   0.0  226.8   1.3e-56 !   Porcine epidemic diarrhea virus strain TC-PC173-P2, complete genome
KM392227.1           -         result               -          cm       14      295        1      280      +    5'    2 0.47   0.0  226.8   1.3e-56 !   Porcine epidemic diarrhea virus strain TC PC170-P2, complete genome
KM392225.1           -         result               -          cm       14      295        1      280      +    5'    2 0.47   0.0  226.8   1.3e-56 !   Porcine epidemic diarrhea virus strain TC PE103(PC21A)-P4, complete genome
KM392232.1           -         result               -          cm       14      295        1      280      +    5'    2 0.47   0.0  226.8   1.3e-56 !   Porcine epidemic diarrhea virus strain TC Iowa106 (PV39)-P1, complete genome
KM077139.1           -         result               -          cm       14      295        1      280      +    5'    2 0.47   0.0  226.8   1.3e-56 !   Porcine epidemic diarrhea virus strain PEDV/USA/Minnesota188/2014, complete genome
MH726376.1           -         result               -          cm        1      295        1      292      +    no    1 0.47   0.0  226.8   1.3e-56 !   Porcine epidemic diarrhea virus isolate GDS18, complete genome
MH593900.1           -         result               -          cm       14      295        1      280      +    5'    2 0.46   0.0  226.7   1.3e-56 !   Porcine epidemic diarrhea virus strain S236, complete genome
MK334046.1           -         result               -          cm        7      295        1      282      +    5'    2 0.37   4.6  226.7   1.3e-56 !   Human coronavirus NL63 strain ChinaGD01, complete genome
KJ778616.1           -         result               -          cm       17      295        1      277      +    5'    2 0.47   0.0  226.5   1.5e-56 !   Porcine epidemic diarrhea virus isolate NPL-PEDv/2013/P10, complete genome
MK558089.1           -         result               -          cm       13      295        1      281      +    5'    2 0.46   0.0  226.4   1.6e-56 !   Porcine epidemic diarrhea virus strain SF4017, complete genome
KU893872.1           -         result               -          cm       10      295        1      283      +    5'    2 0.47   0.0  226.4   1.7e-56 !   Porcine epidemic diarrhea virus strain PC22A-P120, complete genome
KM392224.1           -         result               -          cm       10      295        1      283      +    5'    2 0.47   0.0  226.4   1.7e-56 !   Porcine epidemic diarrhea virus strain TC PC22A-P10, complete genome
MF167434.1           -         result               -          cm        1      295        1      296      +    no    1 0.43   0.1  226.2   1.8e-56 !   Porcine enteric alphacoronavirus GDS04, complete genome
KX289955.1           -         result               -          cm       14      295        1      280      +    5'    2 0.46   0.0  226.2   1.9e-56 !   Porcine epidemic diarrhea virus isolate HUN/5031/2016, complete genome
KM392226.1           -         result               -          cm       15      295        1      279      +    5'    2 0.47   0.0  226.1     2e-56 !   Porcine epidemic diarrhea virus strain TC PC168-P2, complete genome
KM609204.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  225.7   2.5e-56 !   Porcine epidemic diarrhea virus strain PEDV-7C, complete genome
DQ445912.1           -         result               -          cm        3      295        1      286      +    5'    2 0.36   7.4  225.6   2.6e-56 !   Human coronavirus NL63 isolate Amsterdam 496, complete genome
MH697599.1           -         result               -          cm        1      295        1      295      +    no    1 0.43   0.1  225.0   3.8e-56 !   UNVERIFIED_ASMBLY: Porcine enteric alphacoronavirus isolate PEAV_GDS04_P12, complete genome
KU521535.1           -         result               -          cm        3      295        1      286      +    5'    2 0.36   7.2  224.8   4.5e-56 !   Human coronavirus NL63 isolate NL63/UF-2/2015, complete genome
KX179500.1           -         result               -          cm        3      295        1      286      +    5'    2 0.36   6.8  224.6   4.9e-56 !   Human coronavirus NL63 strain NL63/UF-2/2015, complete genome
KT381875.1           -         result               -          cm        3      295        1      286      +    5'    2 0.36   6.8  224.6   4.9e-56 !   Human coronavirus NL63 isolate NL63/UF-1/2015, complete genome
LT898416.1           -         result               -          cm       19      295        1      275      +    5'    2 0.47   0.0  224.2   6.4e-56 !   Porcine epidemic diarrhea virus isolate PEDV_GER_L01017-K01_15-07_2015 genome assembly, complete genome: monopartite
KM392231.1           -         result               -          cm       19      295        1      275      +    5'    2 0.47   0.0  224.2   6.4e-56 !   Porcine epidemic diarrhea virus strain TC PC182-P2, complete genome
MN306040.1           -         result               -          cm        1      295        2      286      +    no    1 0.35   8.0  224.0   6.9e-56 !   Human coronavirus NL63 strain SC0768, complete genome
MG428705.1           -         result               -          cm        1      295       62      348      +    no    1 0.36   6.8  223.6   9.2e-56 !   Human coronavirus NL63 isolate Kilifi_HH_0522_21-May-2010, complete genome
KX981440.1           -         result               -          cm       10      295        1      283      +    5'    2 0.47   0.0  222.9   1.4e-55 !   Porcine epidemic diarrhea virus isolate CH/HNZZ47/2016, complete genome
KY996417.1           -         result               -          cm        1      295        1      293      +    no    1 0.40   0.8  222.5   1.8e-55 !   Human coronavirus 229E strain 229E/UF-1/2016, complete genome
JX503060.1           -         result               -          cm        1      295        1      293      +    no    1 0.40   0.8  222.5   1.8e-55 !   Human coronavirus 229E isolate 0349, complete genome
MK334045.1           -         result               -          cm        7      295        1      282      +    5'    2 0.37   6.0  222.1   2.2e-55 !   Human coronavirus NL63 strain ChinaGD05, complete genome
KT266906.1           -         result               -          cm        3      295        1      286      +    5'    2 0.36   8.0  221.8   2.7e-55 !   Human coronavirus NL63 isolate HCoV NL63/Haiti-1/2015, complete genome
JX504050.1           -         result               -          cm        3      295        1      286      +    5'    2 0.36   8.0  221.8   2.7e-55 !   Human coronavirus NL63 isolate NL63/RPTEC/2004, complete genome
JX524171.1           -         result               -          cm        3      295        1      286      +    5'    2 0.36   8.0  221.8   2.7e-55 !   Human coronavirus NL63 isolate CBJ123, complete genome
JX104161.1           -         result               -          cm        3      295        1      286      +    5'    2 0.36   8.0  221.8   2.7e-55 !   Human coronavirus NL63 isolate CBJ 037, complete genome
MK211370.1           -         result               -          cm       37      295        1      259      +    5'    2 0.44   0.0  221.7   2.8e-55 !   Coronavirus BtSk-AlphaCoV/GX2018B, complete genome
MF542265.1           -         result               -          cm        1      295        2      294      +    no    1 0.40   1.2  221.4   3.4e-55 !   Human coronavirus 229E strain 229E/Haiti-1/2016, complete genome
DQ445911.1           -         result               -          cm        3      295        1      286      +    5'    2 0.36   6.4  221.3   3.6e-55 !   Human coronavirus NL63 isolate Amsterdam 057, complete genome
KY554971.1           -         result               -          cm        3      295        1      286      +    5'    2 0.35   9.3  220.7   5.3e-55 !   Human coronavirus NL63 strain N07-468B_176X, complete genome
MK690502.1           -         result               -          cm        1      295        1      292      +    no    1 0.45   0.0  220.7   5.3e-55 !   Porcine epidemic diarrhea virus isolate HM2017, complete genome
LT898426.1           -         result               -          cm       21      295        1      273      +    5'    2 0.48   0.0  220.6   5.6e-55 !   Porcine epidemic diarrhea virus isolate PEDV_GER_L00857-K14_14-04_2014 genome assembly, complete genome: monopartite
JQ410000.1           -         result               -          cm        1      295        1      292      +    no    1 0.41   0.2  220.2   7.2e-55 !   Alpaca respiratory coronavirus isolate CA08-1/2008, complete genome
KY684760.1           -         result               -          cm        1      295        1      292      +    no    1 0.39   1.5  220.2   7.4e-55 !   Human coronavirus 229E strain SC2282, complete genome
KT368915.1           -         result               -          cm        1      295        1      292      +    no    1 0.41   0.2  219.9   8.8e-55 !   Camel alphacoronavirus isolate camel/Taif/T157(a)/2015, complete genome
NC_028752.1          -         result               -          cm        1      295        1      292      +    no    1 0.42   0.1  219.1   1.4e-54 !   Camel alphacoronavirus isolate camel/Riyadh/Ry141/2015, complete genome
MF593473.1           -         result               -          cm        1      295        1      292      +    no    1 0.42   0.1  219.1   1.4e-54 !   Camel alphacoronavirus Abu Dhabi B38, complete genome
KT253324.1           -         result               -          cm        1      295        1      292      +    no    1 0.42   0.1  219.1   1.4e-54 !   Camel alphacoronavirus Camel229E isolate Camel229E-CoV/JC50/KSA/2014, complete genome
KT368916.1           -         result               -          cm        1      295        1      292      +    no    1 0.42   0.1  219.1   1.4e-54 !   Camel alphacoronavirus isolate camel/Taif/T193/2015, complete genome
KT368914.1           -         result               -          cm        1      295        1      292      +    no    1 0.42   0.1  219.1   1.4e-54 !   Camel alphacoronavirus isolate camel/Taif/T96/2015, complete genome
KT368913.1           -         result               -          cm        1      295        1      292      +    no    1 0.42   0.1  219.1   1.4e-54 !   Camel alphacoronavirus isolate camel/Taif/T91(a)/2015, complete genome
KT368912.1           -         result               -          cm        1      295        1      292      +    no    1 0.42   0.1  219.1   1.4e-54 !   Camel alphacoronavirus isolate camel/Jeddah/Jd28/2015, complete genome
KT368911.1           -         result               -          cm        1      295        1      292      +    no    1 0.42   0.1  219.1   1.4e-54 !   Camel alphacoronavirus isolate camel/Jeddah/Jd8/2015, complete genome
KT368910.1           -         result               -          cm        1      295        1      292      +    no    1 0.42   0.1  219.1   1.4e-54 !   Camel alphacoronavirus isolate camel/Jeddah/Jd6(a)/2015, complete genome
KT368909.1           -         result               -          cm        1      295        1      292      +    no    1 0.42   0.1  219.1   1.4e-54 !   Camel alphacoronavirus isolate camel/Jeddah/Jd1(a)/2015, complete genome
KT368908.1           -         result               -          cm        1      295        1      292      +    no    1 0.42   0.1  219.1   1.4e-54 !   Camel alphacoronavirus isolate camel/Riyadh/Ry159(a)/2015, complete genome
KT368907.1           -         result               -          cm        1      295        1      292      +    no    1 0.42   0.1  219.1   1.4e-54 !   Camel alphacoronavirus isolate camel/Riyadh/Ry141/2015, complete genome
KT368906.1           -         result               -          cm        1      295        1      292      +    no    1 0.42   0.1  219.1   1.4e-54 !   Camel alphacoronavirus isolate camel/Jeddah/D50(a)/2014, complete genome
KT368905.1           -         result               -          cm        1      295        1      292      +    no    1 0.42   0.1  219.1   1.4e-54 !   Camel alphacoronavirus isolate camel/Jeddah/D46(a)/2014, complete genome
KT368904.1           -         result               -          cm        1      295        1      292      +    no    1 0.42   0.1  219.1   1.4e-54 !   Camel alphacoronavirus isolate camel/Jeddah/D43(a)/2014, complete genome
KT368902.1           -         result               -          cm        1      295        1      292      +    no    1 0.42   0.1  219.1   1.4e-54 !   Camel alphacoronavirus isolate camel/Jeddah/D33(a)/2014, complete genome
KT368901.1           -         result               -          cm        1      295        1      292      +    no    1 0.42   0.1  219.1   1.4e-54 !   Camel alphacoronavirus isolate camel/Jeddah/N68(a)/2014, complete genome
KT368900.1           -         result               -          cm        1      295        1      292      +    no    1 0.42   0.1  219.1   1.4e-54 !   Camel alphacoronavirus isolate camel/Jeddah/N62(a)/2014, complete genome
KT368899.1           -         result               -          cm        1      295        1      292      +    no    1 0.42   0.1  219.1   1.4e-54 !   Camel alphacoronavirus isolate camel/Jeddah/N60/2014, complete genome
